"epp"|"school_year"|"BEP"|"post"|"alt"|"post_bac"|"trad"|"alt_bl"|"post_bac_bl"|"trad_bl"|"bl"|"trad_bl_prop"|"alt_ela"|"alt_g"|"alt_m"|"alt_sci"|"alt_ss"|"alt_tot"|"alt_cte"|"alt_fa"|"alt_hel"|"alt_sped"|"alt_loe"|"alt_cs"|"post_bac_fa"|"post_bac_g"|"post_bac_m"|"post_bac_sped"|"post_bac_tot"|"post_bac_ela"|"post_bac_hel"|"post_bac_loe"|"post_bac_ss"|"post_bac_sci"|"post_bac_cte"|"post_bac_cs"|"trad_ela"|"trad_fa"|"trad_g"|"trad_m"|"trad_sci"|"trad_ss"|"trad_sped"|"trad_tot"|"trad_cte"|"trad_loe"|"trad_hel"|"trad_cs"
"1"|"240 Certification"|2021|"Non-BEP"|0|30|0|0|1|0|0|1|NA|2|5|1|2|4|15|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"2"|"A Career in Teaching-EPP (Corpus Christi"|2021|"Non-BEP"|0|42|0|0|0|0|0|0|NA|0|10|0|0|1|21|1|2|1|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"3"|"A Career in Teaching-EPP (McAllen)"|2021|"Non-BEP"|0|276|0|0|30|0|0|30|NA|11|48|8|7|3|138|0|8|6|14|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"4"|"A+ Texas Teachers"|2021|"Non-BEP"|0|11602|0|0|669|0|0|669|NA|578|1786|335|348|410|5801|189|237|232|924|58|35|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"5"|"ACT-Houston at Dallas"|2021|"Non-BEP"|0|262|0|0|18|0|0|18|NA|8|35|8|13|9|131|10|3|14|9|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"6"|"ACT-Rio Grande Valley"|2021|"Non-BEP"|0|122|0|0|13|0|0|13|NA|15|0|7|10|11|61|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"7"|"Alamo Colleges"|2021|"Non-BEP"|0|36|0|0|0|0|0|0|NA|2|5|1|0|4|18|2|2|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"8"|"Austin Community College"|2021|"Non-BEP"|0|124|0|0|18|0|0|18|NA|5|16|5|3|1|62|0|0|0|14|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"9"|"Dallas ISD"|2021|"Non-BEP"|0|144|0|0|21|0|0|21|NA|4|35|0|2|6|72|0|3|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"10"|"Education Career Alternatives Program"|2021|"Non-BEP"|0|646|0|0|37|0|0|37|NA|27|56|16|18|35|323|46|17|20|38|11|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
